"dyr_anon","paritet","kalv_stoer","kalv_kon","klv_dato","metritis","metritis_dato","Efterbyrd","Efterbyrd_dato","maelk","fedt_pct","prot_pct","Celletal","ydelse_dato"
2515121970,1,3,3,2018-08-30,0,,0,,23,5.46,4.21,71,2019-09-03
2515121971,1,3,1,2018-10-16,0,,0,,23.8,3.79,3.87,44,2019-03-19
2515121972,1,3,1,2018-11-29,1,2018-12-12,0,,27,5.01,4.14,21,2019-09-03
2515121973,1,3,1,2018-12-29,0,,0,,20.8,6.45,4.17,67,2019-09-03
2515121975,1,3,2,2019-01-14,0,,0,,,0,0,,2019-01-15
2515121976,2,3,2,2019-09-08,0,,0,,,0,0,,2019-09-03
2515121977,2,,1,2019-08-04,0,,0,,41.4,7.28,3.43,190,2019-09-03
2515121978,1,3,1,2018-08-27,0,,0,,,0,0,,2019-09-03
2515121979,1,3,1,2019-01-18,0,,0,,22.8,5.05,4.39,59,2019-07-30
2515121981,1,4,1,2018-09-08,0,,0,,28.5,5.44,4.06,110,2019-09-03
2515121982,1,2,2,2018-12-21,0,,0,,31.7,4.28,3.9,27,2019-09-03
2515121986,1,3,4,2018-11-12,0,,0,,22.9,5.34,4.29,131,2019-09-03
2515121987,2,3,2,2019-08-18,0,,0,,40.5,4.02,3.43,13,2019-09-03
2515121988,1,4,2,2018-10-20,0,,0,,,0,0,,2019-09-03
2515121989,1,2,1,2018-11-16,0,,0,,27.5,4.73,3.79,48,2019-09-03
2515121990,1,2,2,2018-10-07,0,,0,,22,7.05,4.67,41,2019-09-03
2515121993,1,3,2,2018-10-18,0,,0,,,0,0,,2019-09-03
2515121996,1,3,1,2019-01-03,0,,0,,21.7,3.54,3.99,32,2019-01-15
2515122000,1,3,2,2018-11-06,0,,0,,23.1,5.54,4.37,14,2019-09-03
2515122001,1,2,2,2019-01-28,0,,0,,28.5,4.15,3.93,52,2019-09-03
2515122002,1,2,2,2019-07-03,0,,0,,32.2,5.26,3.71,20,2019-09-03
2515122004,1,3,1,2018-12-14,0,,0,,19.7,9.36,4.78,29,2019-09-03
2515122005,1,3,2,2018-11-30,0,,0,,12.1,6.84,4.26,46,2019-09-03
2515122006,1,3,2,2019-01-04,0,,0,,31.6,4.75,3.95,17,2019-07-30
2515122008,1,3,2,2019-03-03,0,,0,,24.7,4.41,3.96,265,2019-09-03
2515122009,1,3,2,2019-01-06,0,,0,,27.9,4.65,4.13,25,2019-09-03
2515122010,1,3,1,2019-01-20,0,,0,,29.9,3.78,3.61,10,2019-09-03
2515122011,1,,1,2019-08-17,1,2019-08-28,0,,32.5,4.55,3.66,41,2019-09-03
2515122012,1,3,1,2019-01-23,0,,0,,32.7,3.91,3.33,75,2019-09-03
2515122014,1,2,2,2018-12-13,0,,0,,21.5,5.3,3.83,44,2019-09-03
2515122015,1,4,1,2019-03-05,0,,0,,34.6,3.39,3.31,48,2019-09-03
2515122020,1,3,1,2019-03-20,0,,0,,21,4.37,3.73,516,2019-05-21
2515122021,1,2,2,2019-02-05,0,,0,,29.2,4.03,4,98,2019-09-03
2515122023,1,3,2,2019-01-03,0,,0,,21.7,6.23,4.03,148,2019-09-03
2515122024,1,2,2,2018-12-28,0,,0,,32.8,4.01,3.6,84,2019-09-03
2515122177,1,3,2,2019-02-02,0,,0,,24.9,5.45,4.06,33,2019-09-03
2515122180,1,2,2,2019-04-07,1,2019-05-15,0,,20.8,5.11,4.15,31,2019-09-03
2515122182,1,2,2,2019-02-15,0,,0,,28.7,4.87,3.95,15,2019-09-03
2515122183,1,2,1,2019-01-02,0,,0,,15.6,5.34,3.72,291,2019-07-30
2515122184,1,3,2,2019-04-07,0,,0,,29.5,4.18,3.67,22,2019-09-03
2515122185,1,3,1,2019-04-08,0,,0,,27.3,3.73,3.68,26,2019-09-03
2515122186,1,3,1,2019-03-05,0,,0,,25.8,4.89,4.1,145,2019-09-03
2515122187,1,3,2,2019-01-23,0,,0,,25.6,4.46,3.96,1090,2019-09-03
2515122188,1,2,1,2019-02-12,0,,0,,27,4.84,3.94,48,2019-09-03
2515122189,1,2,2,2019-03-12,1,2019-03-25,0,,26.5,5.23,4.04,51,2019-09-03
2515122190,1,1,1,2019-04-16,0,,1,2019-04-19,27.4,4.42,3.66,20,2019-09-03
2515122191,1,3,2,2019-06-01,0,,0,,25.8,5.54,3.64,71,2019-09-03
2515122192,1,3,1,2019-04-08,0,,0,,39,4.12,3.67,22,2019-09-03
2515122193,1,2,2,2019-03-27,0,,0,,28.6,4.64,4.01,125,2019-09-03
2515122194,1,3,1,2019-04-13,0,,0,,30.7,3.93,3.57,119,2019-09-03
